lines read (n),time (s)
100,0.0032352920000000007
1000,0.031855667
2000,0.063996292
3000,0.096751125
4000,0.129274833
5000,0.159941084
6000,0.195896583
7000,0.22731129100000003
8000,0.2614770839999999
9000,0.2810467080000001
10000,0.31050629100000005
