lines read (n),time (s)
100,0.0038507080000000915
1000,0.03763204099999995
2000,0.074555916
3000,0.11252262499999999
4000,0.14915825000000016
5000,0.18740658300000002
6000,0.2241933330000001
7000,0.2651234589999998
8000,0.29853612500000004
9000,0.33581875000000005
10000,0.3735660420000002
