lines read (n),time (s)
100,0.003683791999999908
1000,0.035927708
2000,0.07190883400000003
3000,0.10682274999999986
4000,0.14279737500000023
5000,0.17801849999999986
6000,0.21418037499999976
7000,0.2495668339999999
8000,0.2848307910000001
9000,0.32003737500000007
10000,0.3554492090000001
