lines read (n),time (s)
100,0.0034462089999999987
1000,0.033711584
2000,0.065719667
3000,0.09904674999999999
4000,0.132392709
5000,0.16505195899999997
6000,0.1974310829999999
7000,0.23052333299999994
8000,0.26818741700000015
9000,0.3091554590000001
10000,0.3279510000000001
